aspect,matched_keyword,sentiment_label,vader_compound,review
Performance/Bugs,bug,Positive,-0.9768,"Game had issues on launch, no shit 2 things, it's EA, and it's a fucking game just being launched. Stop being an echoing moron, it'll get fixed and you'll more than likely get compensated for it in some form. Game itself is extremely fun but has its bugs, that shouldn't be a reason to hate it or be a bias idiot just because it's EA. Game feels different, PC servers are actually playable now, and I do feel this is a big upgrade from 22. Try the game before listening to the same people cry about it how it's a copy and paste who will also go ahead and just complain about micro transactions whilst spending hundreds on FUT. You have about 2-4 hours of playtime before your chance of a refund goes away, form your own opinion don't listen to echoing morons and if you don't like the game just refund it."
Performance/Bugs,error,Positive,-0.9746,"1660 ti
8 GB RAM
CORE i5 9TH GEN

AND STILL THE WORST PERFORMANCE EVER!!!!!!!! 
OTHER THAN THE ANTI CHEAT ERROR WHEN I FINALLY PLAYED THE GAME IT KEEP LAGGING OFFLINE AND ONLINE!!!!! 

I FEEL LIKE I MADE THE WORST MISTAKE BY BUYING THIS GAME!"
Servers/Online,online,Negative,-0.9961,"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base."
Servers/Online,server,Negative,-0.996,"I sincerely hope every person who developped this game starts shitting themselves uncontrollably until the end of their days, because it is impossible to be a good person and develop such a game. It is evil, it gets worse and worse with every update, the players are all acting as if brain damaged, the servers are on life support, and the devs are on crack cocaine. They always say everything is fine and good, but truth is it isn't, it is even worse than last year. I don't know what the fuck is going on at EA but i sincerely hope the diarrhea purge helps cleanse this shit we call a gaming company. They make 1 billion dollars net per year with ultimate team, I guess drugs and whores are really expensive because how the fuck could they not make a proper game with such money, when all they do is copy and paste the same shit over and over again. I really really REALLY hope, they ALL shit themselves at least a hundred times every day until they die because it is exactly how us FIFA players feel like every time we boot this piece of shit. We feel like we've been shat on, that someone shat on our brains and proceeded to shag them. Please, EA devs get a life or tell us if you need help in being liberated from those evil crackheads that are your CEOs and project leaders. (Oh and EA's customer service is filled with the most hypocritical people you'll ever meet, I understand it is their job, but the Gawk Gawk 3000 they to do EA's money rod is insane, whilst they probably get minimal wage for being really shit people.) Fuck you EA, I hope you get cucked by demons and they ass fuck you to hell right after that."
Servers/Online,connection,Positive,-0.9988,"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. This is my confession. If you're watching this tape, I'm probably dead, murdered by my brother-in-law Hank Schrader. Hank has been building a meth empire for over a year now and using me as his chemist. Shortly after my 50th birthday, Hank came to me with a rather, shocking proposition. He asked that I use my chemistry knowledge to cook methamphetamine, which he would then sell using his connections in the drug world. Connections that he made through his career with the DEA. I was... astounded, I... I always thought that Hank was a very moral man and I was... thrown, confused, but I was also particularly vulnerable at the time, something he knew and took advantage of. I was reeling from a cancer diagnosis that was poised to bankrupt my family. Hank took me on a ride along, and showed me just how much money even a small meth operation could make. And I was weak. I didn't want my family to go into financial ruin so I agreed. Every day, I think back at that moment with regret. I quickly realized that I was in way over my head, and Hank had a partner, a man named Gustavo Fring, a businessman. Hank essentially sold me into servitude to this man, and when I tried to quit, Fring threatened my family. I didn't know where to turn.
Eventually, Hank and Fring had a falling out. From what I can gather, Hank was always pushing for a greater share of the business, to which Fring flatly refused to give him, and things escalated. Fring was able to arrange, uh I guess I guess you call it a ""hit"" on my brother-in-law, and failed, but Hank was seriously injured, and I wound up paying his medical bills which amounted to a little over $177,000. Upon recovery, Hank was bent on revenge, working with a man named Hector Salamanca, he plotted to kill Fring, and did so. In fact, the bomb that he used was built by me, and he gave me no option in it. I have often contemplated suicide, but I'm a coward. I wanted to go to the police, but I was frightened. Hank had risen in the ranks to become the head of the Albuquerque DEA, and about that time, to keep me in line, he took my children from me. For 3 months he kept them. My wife, who up until that point, had no idea of my criminal activities, was horrified to learn what I had done, why Hank had taken our children. We were scared. I was in Hell, I hated myself for what I had brought upon my family. Recently, I tried once again to quit, to end this nightmare, and in response, he gave me this. I can't take this anymore. I live in fear every day that Hank will kill me, or worse, hurt my family. I... All I could think to do was to make this video in hope that the world will finally see this man, for what he really is."
Servers/Online,server,Positive,-0.9768,"Game had issues on launch, no shit 2 things, it's EA, and it's a fucking game just being launched. Stop being an echoing moron, it'll get fixed and you'll more than likely get compensated for it in some form. Game itself is extremely fun but has its bugs, that shouldn't be a reason to hate it or be a bias idiot just because it's EA. Game feels different, PC servers are actually playable now, and I do feel this is a big upgrade from 22. Try the game before listening to the same people cry about it how it's a copy and paste who will also go ahead and just complain about micro transactions whilst spending hundreds on FUT. You have about 2-4 hours of playtime before your chance of a refund goes away, form your own opinion don't listen to echoing morons and if you don't like the game just refund it."
Career/Content,mode,Negative,-0.9961,"I've been an avid fan of fifa games ever since I was a kid. I've been playing ever since fifa 14. To this day, I still think that 14 was the best I've ever played. Somehow it seems like fifa games have been getting worse over the years. Normally, as a company, you aim to make a sequel of a game to be better than the last one. But for EA, it's most definitely the opposite. For some reason, it seems like the developers at EA have gotten more retarded over the years. How is it possible to make a game this demoralising. Ranging from the poor ranking system, to the immense amounts of lag and glitches, even to (I can't believe I'm saying this) ""scripting"". HOW TF IS IT EVEN POSSIBLE TO ADD SCRIPTING TO A SPORTS GAME?!?! To then call it ""momentum""?!?! No, it's pure bullshit. Doesn't mean that the difficulty is on Legendary that a Bronze player gets an insane stat boost and is immediately better than a TOTY. Don't tell me a 63 OVR defender with 60 pace, outruns my 93 bale with 92 pace, just because of ""momentum"". That's how you make your game better???? To be honest, that's how you lose your player base. Because of little brain rotting little things like that. Also, don't even get me started on the packing system. How am I gonna open multiple packs and get absolute dogshit. But then, my friend that sucks and never touched a fifa game in his whole existence, packs a TOTY on his first pack. I wanna also add that the online mode is fucking garbage. I would rather inhale insane amounts of nuclear radiation and eat toxic waste for the rest of my life than play in an online match with input lag and ACTUAL LAG. To be clear, on every other game, I average 11 ping but for some extraordinary reason, EA decides to slap me with on average 84 ping every fucking match. This whole game is unplayable, unreasonable, unmanageable and especially TRASH. Yet, I come back to it after every time I said I would never touch a game this bad, because of nostalgia and because I wanna relive my childhood of me playing fifa games. If the next game is this bad, I will never touch another EA game, because it will give me a hint that the game will already be completely atrocious. To conclude, I wouldn't recommend this to no-one, even my dead grandfather. SO, EA FIX UR SHIT OR YOU'RE GONNA LOSE A LOT OF PLAYERS. YOU'RE GONNA BE STUCK WITH DUMBASS NPC PLAYERS THAT NEVER TOUCHED FIFA IN THEIR LIFE AND WILL REVIEW THE GAME ON THE GRAPHICS SOLELY AND THEN YOUR RETARDED ASS DEVELOPERS WILL LOOK AT THOSE REVIEWS AND THINK THEY DID A GOOD JOB ON THE GAME. Please fix your shit and, this is coming from an og, look at the reviews that give actually give a constuctive critism on how to make your game better for your player base."
Career/Content,ultimate,Negative,-0.996,"I sincerely hope every person who developped this game starts shitting themselves uncontrollably until the end of their days, because it is impossible to be a good person and develop such a game. It is evil, it gets worse and worse with every update, the players are all acting as if brain damaged, the servers are on life support, and the devs are on crack cocaine. They always say everything is fine and good, but truth is it isn't, it is even worse than last year. I don't know what the fuck is going on at EA but i sincerely hope the diarrhea purge helps cleanse this shit we call a gaming company. They make 1 billion dollars net per year with ultimate team, I guess drugs and whores are really expensive because how the fuck could they not make a proper game with such money, when all they do is copy and paste the same shit over and over again. I really really REALLY hope, they ALL shit themselves at least a hundred times every day until they die because it is exactly how us FIFA players feel like every time we boot this piece of shit. We feel like we've been shat on, that someone shat on our brains and proceeded to shag them. Please, EA devs get a life or tell us if you need help in being liberated from those evil crackheads that are your CEOs and project leaders. (Oh and EA's customer service is filled with the most hypocritical people you'll ever meet, I understand it is their job, but the Gawk Gawk 3000 they to do EA's money rod is insane, whilst they probably get minimal wage for being really shit people.) Fuck you EA, I hope you get cucked by demons and they ass fuck you to hell right after that."
Career/Content,career,Positive,-0.9988,"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. This is my confession. If you're watching this tape, I'm probably dead, murdered by my brother-in-law Hank Schrader. Hank has been building a meth empire for over a year now and using me as his chemist. Shortly after my 50th birthday, Hank came to me with a rather, shocking proposition. He asked that I use my chemistry knowledge to cook methamphetamine, which he would then sell using his connections in the drug world. Connections that he made through his career with the DEA. I was... astounded, I... I always thought that Hank was a very moral man and I was... thrown, confused, but I was also particularly vulnerable at the time, something he knew and took advantage of. I was reeling from a cancer diagnosis that was poised to bankrupt my family. Hank took me on a ride along, and showed me just how much money even a small meth operation could make. And I was weak. I didn't want my family to go into financial ruin so I agreed. Every day, I think back at that moment with regret. I quickly realized that I was in way over my head, and Hank had a partner, a man named Gustavo Fring, a businessman. Hank essentially sold me into servitude to this man, and when I tried to quit, Fring threatened my family. I didn't know where to turn.
Eventually, Hank and Fring had a falling out. From what I can gather, Hank was always pushing for a greater share of the business, to which Fring flatly refused to give him, and things escalated. Fring was able to arrange, uh I guess I guess you call it a ""hit"" on my brother-in-law, and failed, but Hank was seriously injured, and I wound up paying his medical bills which amounted to a little over $177,000. Upon recovery, Hank was bent on revenge, working with a man named Hector Salamanca, he plotted to kill Fring, and did so. In fact, the bomb that he used was built by me, and he gave me no option in it. I have often contemplated suicide, but I'm a coward. I wanted to go to the police, but I was frightened. Hank had risen in the ranks to become the head of the Albuquerque DEA, and about that time, to keep me in line, he took my children from me. For 3 months he kept them. My wife, who up until that point, had no idea of my criminal activities, was horrified to learn what I had done, why Hank had taken our children. We were scared. I was in Hell, I hated myself for what I had brought upon my family. Recently, I tried once again to quit, to end this nightmare, and in response, he gave me this. I can't take this anymore. I live in fear every day that Hank will kill me, or worse, hurt my family. I... All I could think to do was to make this video in hope that the world will finally see this man, for what he really is."
Career/Content,fut,Positive,-0.9768,"Game had issues on launch, no shit 2 things, it's EA, and it's a fucking game just being launched. Stop being an echoing moron, it'll get fixed and you'll more than likely get compensated for it in some form. Game itself is extremely fun but has its bugs, that shouldn't be a reason to hate it or be a bias idiot just because it's EA. Game feels different, PC servers are actually playable now, and I do feel this is a big upgrade from 22. Try the game before listening to the same people cry about it how it's a copy and paste who will also go ahead and just complain about micro transactions whilst spending hundreds on FUT. You have about 2-4 hours of playtime before your chance of a refund goes away, form your own opinion don't listen to echoing morons and if you don't like the game just refund it."
Price/Monetization,ea,Negative,-0.999,"fuck this dog shit game. Don't make the blunder of buying this dog shit game.
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
Fuck you fifa
fuck you EA
fuck you stupid fuckers
you dumbass monkeys"
Price/Monetization,ea,Negative,-0.9964,"Fucking piece of shit, motherfucking EA again, fucking useless cunt game twat prick shit, never do another FIFA, you fucking fucks morons gay nigger trash, fuck you, fuckers fuck fuck fuck. LGBT is a scam, holocaust was a prank. Heil EA Sports, you disgusting fucks."
Price/Monetization,money,Positive,-0.9988,"My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. This is my confession. If you're watching this tape, I'm probably dead, murdered by my brother-in-law Hank Schrader. Hank has been building a meth empire for over a year now and using me as his chemist. Shortly after my 50th birthday, Hank came to me with a rather, shocking proposition. He asked that I use my chemistry knowledge to cook methamphetamine, which he would then sell using his connections in the drug world. Connections that he made through his career with the DEA. I was... astounded, I... I always thought that Hank was a very moral man and I was... thrown, confused, but I was also particularly vulnerable at the time, something he knew and took advantage of. I was reeling from a cancer diagnosis that was poised to bankrupt my family. Hank took me on a ride along, and showed me just how much money even a small meth operation could make. And I was weak. I didn't want my family to go into financial ruin so I agreed. Every day, I think back at that moment with regret. I quickly realized that I was in way over my head, and Hank had a partner, a man named Gustavo Fring, a businessman. Hank essentially sold me into servitude to this man, and when I tried to quit, Fring threatened my family. I didn't know where to turn.
Eventually, Hank and Fring had a falling out. From what I can gather, Hank was always pushing for a greater share of the business, to which Fring flatly refused to give him, and things escalated. Fring was able to arrange, uh I guess I guess you call it a ""hit"" on my brother-in-law, and failed, but Hank was seriously injured, and I wound up paying his medical bills which amounted to a little over $177,000. Upon recovery, Hank was bent on revenge, working with a man named Hector Salamanca, he plotted to kill Fring, and did so. In fact, the bomb that he used was built by me, and he gave me no option in it. I have often contemplated suicide, but I'm a coward. I wanted to go to the police, but I was frightened. Hank had risen in the ranks to become the head of the Albuquerque DEA, and about that time, to keep me in line, he took my children from me. For 3 months he kept them. My wife, who up until that point, had no idea of my criminal activities, was horrified to learn what I had done, why Hank had taken our children. We were scared. I was in Hell, I hated myself for what I had brought upon my family. Recently, I tried once again to quit, to end this nightmare, and in response, he gave me this. I can't take this anymore. I live in fear every day that Hank will kill me, or worse, hurt my family. I... All I could think to do was to make this video in hope that the world will finally see this man, for what he really is."
Price/Monetization,refund,Positive,-0.9768,"Game had issues on launch, no shit 2 things, it's EA, and it's a fucking game just being launched. Stop being an echoing moron, it'll get fixed and you'll more than likely get compensated for it in some form. Game itself is extremely fun but has its bugs, that shouldn't be a reason to hate it or be a bias idiot just because it's EA. Game feels different, PC servers are actually playable now, and I do feel this is a big upgrade from 22. Try the game before listening to the same people cry about it how it's a copy and paste who will also go ahead and just complain about micro transactions whilst spending hundreds on FUT. You have about 2-4 hours of playtime before your chance of a refund goes away, form your own opinion don't listen to echoing morons and if you don't like the game just refund it."
